gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
NOVA2,1078.26645396748,1.69354679581931,0.0768890794324261,1.13415627251288e-108,4.36990411799213e-106
B3GAT1,1590.04577623212,1.42027427054672,0.0650145170725243,4.94354919431509e-107,1.86740147506824e-104
HAND2-AS1,8003.83076986689,0.847447129068227,0.0388104735939166,3.93963551435034e-105,1.45955919584537e-102
PHGDH,7972.58205553006,-0.958778869248239,0.0443968329567644,1.27221545661851e-103,4.62438316448218e-101
SVOP,764.775060565282,1.54693774462976,0.0720138805814377,1.94717042260658e-103,6.94671077620661e-101
CACNA1B,942.511906172467,1.80405165380167,0.0839706082520486,4.21771377147878e-103,1.47735010559161e-100
MYBL2,7964.15580938805,-1.2063027975719,0.0560490743116438,6.95247014915706e-103,2.39177388256269e-100
LRRTM2,424.776609736448,2.25113046119629,0.105809112740448,9.72120593530512e-102,3.28559705866058e-99
NCAPH2,2340.58465450087,-1.10076099640877,0.0516636718205411,1.31579740387423e-101,4.37048913545466e-99
DYRK1B,1409.79048754359,1.55201515286616,0.0730236399604467,1.85051528056592e-101,6.04240286103433e-99
SYN2,1853.20839003676,1.71280322936402,0.0807555855101173,3.7298175343496e-101,1.19758224665408e-98
SIVA1,1177.27973070306,-1.42895763534205,0.0678897679024043,1.13838506822948e-99,3.59524399007229e-97
CHST14,1494.99795004444,-1.29382984221482,0.0614526221980581,2.8567221116021e-99,8.87657281935716e-97
SEPTIN10,712.760964385275,-1.58861684070825,0.0755899143569718,3.93224680562023e-99,1.20245610651228e-96
ARMCX3,2642.99806942006,1.0602841383777,0.0506481474306978,1.55874314621672e-98,4.69206042372892e-96
RPS6KL1,2586.48479943825,1.02241930256159,0.0491596150587542,1.42828178158377e-97,4.23320746495559e-95
DPP6,1942.79936000219,1.26697205860379,0.0607790218957585,2.0490880859239e-97,5.98116393565513e-95
GPR155,449.90491513786,1.70417005413403,0.0819406888742945,5.48382970133433e-97,1.57680565964486e-94
SERINC1,8851.66297606516,0.936969957072314,0.0451376531527565,1.67783310398645e-96,4.75344922769102e-94
RUFY3,2719.29854064298,1.09321077791851,0.0528221608319102,1.14123405159507e-95,3.18635855130131e-93
