gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
RARA,3445.03067382789,1.10564623060835,0.0514602941660415,5.25844749356046e-103,2.57237566576876e-100
HID1,784.959440211935,1.91774607493558,0.090035864942088,2.13685955332294e-102,1.0178199451354e-99
STMN4,1202.83775124466,1.96268120465251,0.0940745270554337,3.6099870038345e-98,1.67540422485653e-95
CADM4,1251.67271183338,1.39994602700746,0.0674708124227225,7.34015685322147e-97,3.32142097608272e-94
TNS3,401.758227148491,2.52729119982459,0.122383969807297,1.24175364572704e-95,5.48188804577061e-93
DCLK1,3557.0549060412,1.46810276475473,0.0719273690397056,3.53007465746006e-95,1.52129407857207e-92
SHC2,666.185736719262,2.29145666409917,0.112445191162718,1.76643807493596e-93,7.43547189682345e-91
GAB2,6301.33601916465,0.901093157331133,0.043889098308777,2.60073072379033e-93,1.06984604774102e-90
CD177,215.427579874639,3.05756412182164,0.151118320244637,2.94853911501844e-92,1.18596795515186e-89
GABARAPL1,2007.91100977362,1.01879208811072,0.0504235382435621,1.0740214643676e-91,4.22604097935948e-89
ADRA2C,1080.65392074863,-1.58606159077463,0.078864551277227,2.09654294754727e-91,8.07392071289481e-89
RAB38,341.939478761691,2.46173628895229,0.123018645652113,1.3960324014015e-90,5.26420551361817e-88
JPH4,2351.55386632946,1.41615549659184,0.0722289916411968,5.89207858494724e-87,2.17646168137847e-84
SOX4,13656.6318299286,1.03031335441522,0.0528137992119226,1.1198198425614e-85,4.05374783007227e-83
NEFH,11152.0929145966,-0.992127079753354,0.0513766624849944,5.70111125470955e-84,2.02333556294594e-81
HDAC9,538.33126220391,-1.66491714808048,0.0865010655943614,1.1547607136103e-83,4.01945556083586e-81
FIGNL2,243.430090393082,2.13921859374475,0.111583325326272,4.47002982424621e-83,1.52655735507276e-80
RBP1,10510.274455735,0.992539772978236,0.0517342910141812,4.74896935407558e-83,1.59178417238459e-80
CSRP1,1096.13740186669,1.23651183976483,0.0646438476894003,1.060871123055e-82,3.49123042314465e-80
SLC32A1,823.962974326396,2.30428637219266,0.12099850224961,3.40381162580135e-82,1.10016054333936e-79
OTUD1,202.913443339796,2.51659566281943,0.132665179152798,2.99935381871256e-81,9.52426388047322e-79
NGFR,7302.71085517035,1.42089759751105,0.0748839773908846,1.54948000871523e-80,4.83544623409409e-78
PCAT14,355.096864307956,2.50479574475462,0.134388759701293,7.67455088037209e-79,2.35439611753788e-76
HTR3A,416.624113879238,-1.8232191504578,0.0978486431177715,1.01773215673926e-78,3.07015867283011e-76
PLAT,12078.8835328358,1.39746738433836,0.0751312877416548,2.09934389221309e-78,6.22920072935358e-76
SBK1,3174.34883444555,1.31167920414447,0.0709479834429561,2.1500193387336e-78,6.27666935985133e-76
LINC01587,736.35599137256,2.26618320975739,0.12286532986063,1.51430305715186e-77,4.35061671975375e-75
SERPINE2,492.063596851305,1.9048161156716,0.103494973649044,5.6601456324247e-77,1.60075993667011e-74
ATP7A,5291.11249571287,1.10041142367407,0.0604334360141915,3.70730220932845e-75,1.03234107675146e-72
FBLIM1,2452.20494173238,1.05651005038293,0.0581157949323992,7.22122417732119e-75,1.98036602438657e-72
GNG2,13738.5619410314,1.03080399413599,0.0569580260377874,2.63630577310039e-73,7.12196037210701e-71
TTLL12,4127.75811255744,-0.712826019118294,0.0397746088217465,1.13601782016574e-72,3.02381213897056e-70
NDRG4,5947.32716350236,0.801223782776577,0.0450024903751792,5.83011814825633e-72,1.52934983309333e-69
