gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
CADM3,208.018244249739,4.83657759521618,0.184320711954204,1.88795214455686e-151,2.36501405208457e-149
CTDSPL,1615.26673716072,-1.64270662915098,0.0627425720190047,2.18356295315084e-151,2.71833243913058e-149
MCM3,7339.41788089544,-1.62002693523793,0.0622674913370958,5.55563497892814e-151,6.87355505448498e-149
DPYSL4,3479.78808041928,1.49480217964424,0.0572892219753792,6.68707513070296e-151,8.22264091071653e-149
HMGA1,9393.15482082036,-1.66691690268028,0.0639588491859995,3.76216816001207e-150,4.59787417262939e-148
CCNE2,386.016658928722,-3.4014648150635,0.130976089548394,7.24922671317506e-150,8.80583339467683e-148
SNX3,4999.67489603731,-1.1217442968689,0.0430004858760075,8.7165965712274e-150,1.05245027154886e-147
SVOP,764.775060565282,1.84216527836775,0.070999871109132,2.26686504647115e-149,2.72064527703121e-147
NREP,11604.2697811304,1.10418120393628,0.0425611215362883,5.26989070838064e-149,6.28716782548054e-147
KIF22,4409.73712135944,-1.20866768021474,0.046512727461453,1.9731824896189e-148,2.33578851326897e-146
ABCG4,400.351779525423,2.60401927922537,0.100762558867676,1.98116074068615e-148,2.33578851326897e-146
CLSPN,552.281322016015,-3.05361028350778,0.11815237729018,2.34793054034285e-148,2.75202174386501e-146
CENPN,1440.25151510012,-1.54404228388827,0.0598494573663379,8.04208359617789e-148,9.37136520454613e-146
SEPTIN10,712.760964385275,-2.00937230127279,0.077913013587663,9.49096804571523e-148,1.09958076612873e-145
SEZ6L,399.814212449913,2.10076709393556,0.0816359379515561,7.25796407144393e-147,8.36042378643395e-145
SLC29A1,2350.54993340934,-1.39184969506399,0.0539777503120929,8.63674717870249e-147,9.89178992587052e-145
BDH1,571.781576803094,-2.04265570464289,0.0793691632192815,9.17737324933157e-147,1.04512552293382e-144
ARL8A,2225.42006176932,1.21237009541011,0.0471278178494953,1.31384062677956e-146,1.48775749618886e-144
ANLN,2715.15942311251,-1.85064080187377,0.0721150759275449,1.6533131568249e-146,1.86164919113717e-144
IGFBP4,1417.11861777924,-1.63331187601659,0.063572058100577,1.67448797508485e-146,1.87495879802378e-144
