gene	condition	cluster_v2
BLACAT1	PB+RA upregulated cluster	4
BMERB1	PB+RA upregulated cluster	4
BMP1	PB+RA upregulated cluster	4
BMS1P10	PB+RA upregulated cluster	4
BMT2	PB+RA upregulated cluster	4
BNIP3L	PB+RA upregulated cluster	4
BNIP3P12	PB+RA upregulated cluster	4
BNIPL	PB+RA upregulated cluster	4
BOK	PB+RA upregulated cluster	4
BOK-AS1	PB+RA upregulated cluster	4
BRINP3	PB+RA upregulated cluster	4
BRSK1	PB+RA upregulated cluster	4
BSDC1	PB+RA upregulated cluster	4
BTBD8	PB+RA upregulated cluster	4
BTN3A1	PB+RA upregulated cluster	4
BTRC	PB+RA upregulated cluster	4
C10orf143	PB+RA upregulated cluster	4
C12orf75	PB+RA upregulated cluster	4
C14orf39	PB+RA upregulated cluster	4
C16orf46	PB+RA upregulated cluster	4
C16orf96	PB+RA upregulated cluster	4
C17orf100	PB+RA upregulated cluster	4
C18orf32	PB+RA upregulated cluster	4
C1GALT1P1	PB+RA upregulated cluster	4
C1orf21	PB+RA upregulated cluster	4
C1QTNF4	PB+RA upregulated cluster	4
C1S	PB+RA upregulated cluster	4
C22orf46	PB+RA upregulated cluster	4
C3orf35	PB+RA upregulated cluster	4
C3orf86	PB+RA upregulated cluster	4
C5orf47	PB+RA upregulated cluster	4
C7	PB+RA upregulated cluster	4
C8orf31	PB+RA upregulated cluster	4
C9orf135	PB+RA upregulated cluster	4
C9orf24	PB+RA upregulated cluster	4
C9orf50	PB+RA upregulated cluster	4
CACNA1C	PB+RA upregulated cluster	4
CACNA1G	PB+RA upregulated cluster	4
CACNG2	PB+RA upregulated cluster	4
CACNG7	PB+RA upregulated cluster	4
CACNG8	PB+RA upregulated cluster	4
CADM3	PB+RA upregulated cluster	4
CALCA	PB+RA upregulated cluster	4
CALCB	PB+RA upregulated cluster	4
CALHM5	PB+RA upregulated cluster	4
CAMK2A	PB+RA upregulated cluster	4
CAP2	PB+RA upregulated cluster	4
CAPN3	PB+RA upregulated cluster	4
CAPN9	PB+RA upregulated cluster	4
CAPRIN2	PB+RA upregulated cluster	4
CAPS	PB+RA upregulated cluster	4
CARD19	PB+RA upregulated cluster	4
CARF	PB+RA upregulated cluster	4
CASC15	PB+RA upregulated cluster	4
CASP9	PB+RA upregulated cluster	4
CASQ1	PB+RA upregulated cluster	4
CASTOR3	PB+RA upregulated cluster	4
CATSPERG	PB+RA upregulated cluster	4
CAVIN1	PB+RA upregulated cluster	4
CBLN2	PB+RA upregulated cluster	4
CCBE1	PB+RA upregulated cluster	4
CCDC112	PB+RA upregulated cluster	4
CCDC115	PB+RA upregulated cluster	4
CCDC160	PB+RA upregulated cluster	4
CCDC169	PB+RA upregulated cluster	4
CCDC181	PB+RA upregulated cluster	4
CCDC183	PB+RA upregulated cluster	4
CCDC184	PB+RA upregulated cluster	4
CCDC186	PB+RA upregulated cluster	4
CCDC191	PB+RA upregulated cluster	4
CCDC65	PB+RA upregulated cluster	4
CCDC68	PB+RA upregulated cluster	4
CCDC92	PB+RA upregulated cluster	4
CCDC93	PB+RA upregulated cluster	4
CCL2	PB+RA upregulated cluster	4
CCL26	PB+RA upregulated cluster	4
CCN2	PB+RA upregulated cluster	4
CCNA1	PB+RA upregulated cluster	4
CCNDBP1	PB+RA upregulated cluster	4
CCNJL	PB+RA upregulated cluster	4
CCS	PB+RA upregulated cluster	4
CCT6B	PB+RA upregulated cluster	4
CD14	PB+RA upregulated cluster	4
CD177P1	PB+RA upregulated cluster	4
CD200	PB+RA upregulated cluster	4
CD24P2	PB+RA upregulated cluster	4
CD24P4	PB+RA upregulated cluster	4
CD52	PB+RA upregulated cluster	4
CD59	PB+RA upregulated cluster	4
CDH12	PB+RA upregulated cluster	4
CDH23	PB+RA upregulated cluster	4
CDHR1	PB+RA upregulated cluster	4
CDKL5	PB+RA upregulated cluster	4
CDKN2B	PB+RA upregulated cluster	4
CDS1	PB+RA upregulated cluster	4
CDYL2	PB+RA upregulated cluster	4
CEACAM1	PB+RA upregulated cluster	4
CEACAM19	PB+RA upregulated cluster	4
CEBPD	PB+RA upregulated cluster	4
CEL	PB+RA upregulated cluster	4
CELF5	PB+RA upregulated cluster	4
CELF6	PB+RA upregulated cluster	4
CEMIP	PB+RA upregulated cluster	4
CEP170B	PB+RA upregulated cluster	4
CEROX1	PB+RA upregulated cluster	4
CERS4	PB+RA upregulated cluster	4
CERS5	PB+RA upregulated cluster	4
CFAP44	PB+RA upregulated cluster	4
CFAP69	PB+RA upregulated cluster	4
CFI	PB+RA upregulated cluster	4
CFL1P1	PB+RA upregulated cluster	4
CFP	PB+RA upregulated cluster	4
CHAC1	PB+RA upregulated cluster	4
CHD5	PB+RA upregulated cluster	4
CHL1	PB+RA upregulated cluster	4
CHMP4B	PB+RA upregulated cluster	4
CHN2	PB+RA upregulated cluster	4
CHRM3	PB+RA upregulated cluster	4
CHST11	PB+RA upregulated cluster	4
CHST2	PB+RA upregulated cluster	4
CHST7	PB+RA upregulated cluster	4
CHSY3	PB+RA upregulated cluster	4
CLCN4	PB+RA upregulated cluster	4
CLCN5	PB+RA upregulated cluster	4
CLCN6	PB+RA upregulated cluster	4
CLDN9	PB+RA upregulated cluster	4
CLHC1	PB+RA upregulated cluster	4
CLIP2	PB+RA upregulated cluster	4
CLIP3	PB+RA upregulated cluster	4
CLSTN3	PB+RA upregulated cluster	4
CLUHP3	PB+RA upregulated cluster	4
CNR1	PB+RA upregulated cluster	4
CNTN4	PB+RA upregulated cluster	4
CNTNAP5	PB+RA upregulated cluster	4
COL12A1	PB+RA upregulated cluster	4
COL13A1	PB+RA upregulated cluster	4
COL18A1	PB+RA upregulated cluster	4
COL22A1	PB+RA upregulated cluster	4
COL26A1	PB+RA upregulated cluster	4
COL4A2	PB+RA upregulated cluster	4
COL5A1	PB+RA upregulated cluster	4
COL6A2	PB+RA upregulated cluster	4
COLCA1	PB+RA upregulated cluster	4
COLQ	PB+RA upregulated cluster	4
COMP	PB+RA upregulated cluster	4
CORO2B	PB+RA upregulated cluster	4
CPAMD8	PB+RA upregulated cluster	4
CPE	PB+RA upregulated cluster	4
CPQ	PB+RA upregulated cluster	4
CPT1B	PB+RA upregulated cluster	4
CPT1C	PB+RA upregulated cluster	4
CRABP2	PB+RA upregulated cluster	4
CRB1	PB+RA upregulated cluster	4
CREBRF	PB+RA upregulated cluster	4
CRIM1	PB+RA upregulated cluster	4
CROCCP3	PB+RA upregulated cluster	4
CRYBB2	PB+RA upregulated cluster	4
CRYL1	PB+RA upregulated cluster	4
CSF1R	PB+RA upregulated cluster	4
CSF2RB	PB+RA upregulated cluster	4
CSN1S1	PB+RA upregulated cluster	4
CSPG4P5	PB+RA upregulated cluster	4
CSRNP2	PB+RA upregulated cluster	4
CTNND2	PB+RA upregulated cluster	4
CTSB	PB+RA upregulated cluster	4
CTSD	PB+RA upregulated cluster	4
CTSH	PB+RA upregulated cluster	4
CTSK	PB+RA upregulated cluster	4
CTSO	PB+RA upregulated cluster	4
CTTNBP2NL	PB+RA upregulated cluster	4
CXCL8	PB+RA upregulated cluster	4
CYB5R1	PB+RA upregulated cluster	4
CYFIP2	PB+RA upregulated cluster	4
CYLD	PB+RA upregulated cluster	4
CYP19A1	PB+RA upregulated cluster	4
CYP1A1	PB+RA upregulated cluster	4
CYP26A1	PB+RA upregulated cluster	4
CYP26B1	PB+RA upregulated cluster	4
CYP26C1	PB+RA upregulated cluster	4
CYP2D8P	PB+RA upregulated cluster	4
CYP3A5	PB+RA upregulated cluster	4
CYP46A1	PB+RA upregulated cluster	4
CYP4F23P	PB+RA upregulated cluster	4
CYP4V2	PB+RA upregulated cluster	4
CYTH2	PB+RA upregulated cluster	4
CYTH3	PB+RA upregulated cluster	4
CYTH4	PB+RA upregulated cluster	4
CYTL1	PB+RA upregulated cluster	4
CZ1P-ASNS	PB+RA upregulated cluster	4
DACT1	PB+RA upregulated cluster	4
DCAF8L2	PB+RA upregulated cluster	4
DCAKD	PB+RA upregulated cluster	4
DCHS1	PB+RA upregulated cluster	4
DCLK1	PB+RA upregulated cluster	4
DCSTAMP	PB+RA upregulated cluster	4
DCT	PB+RA upregulated cluster	4
DCTN4	PB+RA upregulated cluster	4
DCUN1D3	PB+RA upregulated cluster	4
DCX	PB+RA upregulated cluster	4
DDIT3	PB+RA upregulated cluster	4
DDIT4	PB+RA upregulated cluster	4
DDR1	PB+RA upregulated cluster	4
DDX58	PB+RA upregulated cluster	4
DEFB134	PB+RA upregulated cluster	4
DGKA	PB+RA upregulated cluster	4
DGKQ	PB+RA upregulated cluster	4
DHRS2	PB+RA upregulated cluster	4
DHRS3	PB+RA upregulated cluster	4
DHRS7	PB+RA upregulated cluster	4
DICER1-AS1	PB+RA upregulated cluster	4
DIO2	PB+RA upregulated cluster	4
DIP2C	PB+RA upregulated cluster	4
DIRAS2	PB+RA upregulated cluster	4
DIRAS3	PB+RA upregulated cluster	4
DIRC3	PB+RA upregulated cluster	4
DIRC3-AS1	PB+RA upregulated cluster	4
DIXDC1	PB+RA upregulated cluster	4
DLG2	PB+RA upregulated cluster	4
DLGAP4	PB+RA upregulated cluster	4
DLK2	PB+RA upregulated cluster	4
DLL4	PB+RA upregulated cluster	4
DLX2	PB+RA upregulated cluster	4
DMTN	PB+RA upregulated cluster	4
