gene	condition	cluster_v2
ABHD14B	PB+RA and PB regulated	5
ABHD6	PB+RA and PB regulated	5
ABLIM2	PB+RA and PB regulated	5
ABLIM3	PB+RA and PB regulated	5
ABR	PB+RA and PB regulated	5
ACAA1	PB+RA and PB regulated	5
ACAD10	PB+RA and PB regulated	5
ACAD11	PB+RA and PB regulated	5
ACADVL	PB+RA and PB regulated	5
ACAP3	PB+RA and PB regulated	5
ACBD4	PB+RA and PB regulated	5
ACBD7	PB+RA and PB regulated	5
ACOX3	PB+RA and PB regulated	5
ACP5	PB+RA and PB regulated	5
ACSL4	PB+RA and PB regulated	5
ACSL6	PB+RA and PB regulated	5
ACSM3	PB+RA and PB regulated	5
ACTBP7	PB+RA and PB regulated	5
ACTG1P17	PB+RA and PB regulated	5
ACTR3C	PB+RA and PB regulated	5
ACVR2B-AS1	PB+RA and PB regulated	5
ACYP2	PB+RA and PB regulated	5
ADAM28	PB+RA and PB regulated	5
ADAM32	PB+RA and PB regulated	5
ADAM8	PB+RA and PB regulated	5
ADAMTS13	PB+RA and PB regulated	5
ADAP1	PB+RA and PB regulated	5
ADARB1	PB+RA and PB regulated	5
ADAT2	PB+RA and PB regulated	5
ADCY5	PB+RA and PB regulated	5
ADCY6	PB+RA and PB regulated	5
ADCY7	PB+RA and PB regulated	5
ADD2	PB+RA and PB regulated	5
ADGRB1	PB+RA and PB regulated	5
ADGRD1	PB+RA and PB regulated	5
ADGRL1	PB+RA and PB regulated	5
ADM	PB+RA and PB regulated	5
ADPRHL1	PB+RA and PB regulated	5
ADPRM	PB+RA and PB regulated	5
ADRA1B	PB+RA and PB regulated	5
ADRA2A	PB+RA and PB regulated	5
AFAP1L2	PB+RA and PB regulated	5
AFDN-DT	PB+RA and PB regulated	5
AFF1-AS1	PB+RA and PB regulated	5
AFMID	PB+RA and PB regulated	5
AGAP6	PB+RA and PB regulated	5
AGBL1	PB+RA and PB regulated	5
AGBL4	PB+RA and PB regulated	5
AGMAT	PB+RA and PB regulated	5
AGPAT4	PB+RA and PB regulated	5
AGPAT4-IT1	PB+RA and PB regulated	5
AGRN	PB+RA and PB regulated	5
AGT	PB+RA and PB regulated	5
AHCYL2	PB+RA and PB regulated	5
AHDC1	PB+RA and PB regulated	5
AIG1	PB+RA and PB regulated	5
AJM1	PB+RA and PB regulated	5
AK4	PB+RA and PB regulated	5
AKR1C1	PB+RA and PB regulated	5
AKR1C2	PB+RA and PB regulated	5
AKR1C4	PB+RA and PB regulated	5
AKR1C7P	PB+RA and PB regulated	5
AKR1D1	PB+RA and PB regulated	5
ALDH1L2	PB+RA and PB regulated	5
ALK	PB+RA and PB regulated	5
ALLC	PB+RA and PB regulated	5
ALOX12-AS1	PB+RA and PB regulated	5
ALPL	PB+RA and PB regulated	5
ALS2CL	PB+RA and PB regulated	5
AMDHD2	PB+RA and PB regulated	5
AMER1	PB+RA and PB regulated	5
AMHR2	PB+RA and PB regulated	5
AMIGO1	PB+RA and PB regulated	5
AMPD2	PB+RA and PB regulated	5
AMT	PB+RA and PB regulated	5
AMY2B	PB+RA and PB regulated	5
ANAPC1P2	PB+RA and PB regulated	5
ANGPT2	PB+RA and PB regulated	5
ANGPTL6	PB+RA and PB regulated	5
ANK2	PB+RA and PB regulated	5
ANKRA2	PB+RA and PB regulated	5
ANKRD1	PB+RA and PB regulated	5
ANKRD13B	PB+RA and PB regulated	5
ANKRD20A18P	PB+RA and PB regulated	5
ANKRD24	PB+RA and PB regulated	5
ANKRD31	PB+RA and PB regulated	5
ANKRD34A	PB+RA and PB regulated	5
ANKRD35	PB+RA and PB regulated	5
ANKRD46	PB+RA and PB regulated	5
ANKRD7	PB+RA and PB regulated	5
ANKZF1	PB+RA and PB regulated	5
ANXA6	PB+RA and PB regulated	5
AOC2	PB+RA and PB regulated	5
AP3B2	PB+RA and PB regulated	5
AP4B1	PB+RA and PB regulated	5
AP5Z1	PB+RA and PB regulated	5
APBA1	PB+RA and PB regulated	5
APBA2	PB+RA and PB regulated	5
APBB3	PB+RA and PB regulated	5
APC2	PB+RA and PB regulated	5
APLP1	PB+RA and PB regulated	5
APOA1	PB+RA and PB regulated	5
APOA4	PB+RA and PB regulated	5
APOBEC3G	PB+RA and PB regulated	5
APOC3	PB+RA and PB regulated	5
APOE	PB+RA and PB regulated	5
APOL2	PB+RA and PB regulated	5
APP	PB+RA and PB regulated	5
AQP4-AS1	PB+RA and PB regulated	5
AQP6	PB+RA and PB regulated	5
AQP7	PB+RA and PB regulated	5
ARC	PB+RA and PB regulated	5
ARFGEF1-DT	PB+RA and PB regulated	5
ARHGAP18	PB+RA and PB regulated	5
ARHGAP22	PB+RA and PB regulated	5
ARHGAP27P1	PB+RA and PB regulated	5
ARHGAP27P1-BPTFP1-KPNA2P3	PB+RA and PB regulated	5
ARHGDIG	PB+RA and PB regulated	5
ARHGEF17	PB+RA and PB regulated	5
ARHGEF4	PB+RA and PB regulated	5
ARHGEF9	PB+RA and PB regulated	5
ARIH2OS	PB+RA and PB regulated	5
ARL10	PB+RA and PB regulated	5
ARL15	PB+RA and PB regulated	5
ARL4C	PB+RA and PB regulated	5
ARL9	PB+RA and PB regulated	5
ARMC12	PB+RA and PB regulated	5
ARMCX1	PB+RA and PB regulated	5
ARMCX3	PB+RA and PB regulated	5
ARRDC4	PB+RA and PB regulated	5
ARSG	PB+RA and PB regulated	5
ARVCF	PB+RA and PB regulated	5
ASAH1	PB+RA and PB regulated	5
ASAH2	PB+RA and PB regulated	5
ASH1L-AS1	PB+RA and PB regulated	5
ASIC1	PB+RA and PB regulated	5
ASIC3	PB+RA and PB regulated	5
ASIC4	PB+RA and PB regulated	5
ASPHD1	PB+RA and PB regulated	5
ATAD3C	PB+RA and PB regulated	5
ATG14	PB+RA and PB regulated	5
ATG4A	PB+RA and PB regulated	5
ATM	PB+RA and PB regulated	5
ATP1A3	PB+RA and PB regulated	5
ATP2A1	PB+RA and PB regulated	5
ATP2B2	PB+RA and PB regulated	5
ATP5F1E	PB+RA and PB regulated	5
ATP6AP1	PB+RA and PB regulated	5
ATP6V0A1	PB+RA and PB regulated	5
ATP6V0D1	PB+RA and PB regulated	5
ATP6V0E1	PB+RA and PB regulated	5
ATP6V0E2-AS1	PB+RA and PB regulated	5
ATP6V1A	PB+RA and PB regulated	5
ATP6V1C1	PB+RA and PB regulated	5
ATP6V1F	PB+RA and PB regulated	5
ATP6V1H	PB+RA and PB regulated	5
ATP8A1	PB+RA and PB regulated	5
ATRN	PB+RA and PB regulated	5
ATXN1-AS1	PB+RA and PB regulated	5
ATXN7L1	PB+RA and PB regulated	5
ATXN7L2	PB+RA and PB regulated	5
AUH	PB+RA and PB regulated	5
AURKAP1	PB+RA and PB regulated	5
AVIL	PB+RA and PB regulated	5
AXL	PB+RA and PB regulated	5
B3GALT2	PB+RA and PB regulated	5
B3GAT1	PB+RA and PB regulated	5
B3GAT1-DT	PB+RA and PB regulated	5
B3GNT8	PB+RA and PB regulated	5
B3GNTL1	PB+RA and PB regulated	5
B4GALT7	PB+RA and PB regulated	5
BAIAP2	PB+RA and PB regulated	5
BAIAP2L2	PB+RA and PB regulated	5
BAIAP3	PB+RA and PB regulated	5
BANF1P2	PB+RA and PB regulated	5
BARX1	PB+RA and PB regulated	5
BBC3	PB+RA and PB regulated	5
BCDIN3D-AS1	PB+RA and PB regulated	5
BCKDHA	PB+RA and PB regulated	5
BCL2L12P1	PB+RA and PB regulated	5
BCL7A	PB+RA and PB regulated	5
BDNF-AS	PB+RA and PB regulated	5
BEND3P2	PB+RA and PB regulated	5
BEST4	PB+RA and PB regulated	5
BEX1	PB+RA and PB regulated	5
BEX2	PB+RA and PB regulated	5
BEX4	PB+RA and PB regulated	5
BID	PB+RA and PB regulated	5
BLCAP	PB+RA and PB regulated	5
BLK	PB+RA and PB regulated	5
BLOC1S3	PB+RA and PB regulated	5
BNIP3P15	PB+RA and PB regulated	5
BOC	PB+RA and PB regulated	5
BOLA3-AS1	PB+RA and PB regulated	5
BORCS5	PB+RA and PB regulated	5
BORCS7	PB+RA and PB regulated	5
BPHL	PB+RA and PB regulated	5
BRCA1P1	PB+RA and PB regulated	5
BRSK2	PB+RA and PB regulated	5
BSN	PB+RA and PB regulated	5
BTBD9	PB+RA and PB regulated	5
BTD	PB+RA and PB regulated	5
BTG1	PB+RA and PB regulated	5
BTG2	PB+RA and PB regulated	5
BTK	PB+RA and PB regulated	5
BTN3A3	PB+RA and PB regulated	5
BUD13P1	PB+RA and PB regulated	5
C10orf90	PB+RA and PB regulated	5
C11orf1	PB+RA and PB regulated	5
C11orf21	PB+RA and PB regulated	5
C11orf71	PB+RA and PB regulated	5
C11orf95	PB+RA and PB regulated	5
C12orf60	PB+RA and PB regulated	5
C12orf76	PB+RA and PB regulated	5
C14orf119	PB+RA and PB regulated	5
C14orf132	PB+RA and PB regulated	5
C14orf178	PB+RA and PB regulated	5
C15orf65	PB+RA and PB regulated	5
C16orf71	PB+RA and PB regulated	5
C17orf102	PB+RA and PB regulated	5
C17orf107	PB+RA and PB regulated	5
C17orf97	PB+RA and PB regulated	5
C19orf12	PB+RA and PB regulated	5
C19orf18	PB+RA and PB regulated	5
C19orf38	PB+RA and PB regulated	5
C1orf158	PB+RA and PB regulated	5
C1orf50	PB+RA and PB regulated	5
C1orf53	PB+RA and PB regulated	5
C20orf194	PB+RA and PB regulated	5
C20orf204	PB+RA and PB regulated	5
C2CD2L	PB+RA and PB regulated	5
C2CD4C	PB+RA and PB regulated	5
C2CD4D-AS1	PB+RA and PB regulated	5
C2orf74	PB+RA and PB regulated	5
C2orf91	PB+RA and PB regulated	5
C4orf3	PB+RA and PB regulated	5
C4orf47	PB+RA and PB regulated	5
C4orf50	PB+RA and PB regulated	5
C5AR2	PB+RA and PB regulated	5
C5orf66	PB+RA and PB regulated	5
C6orf118	PB+RA and PB regulated	5
C6orf163	PB+RA and PB regulated	5
C7orf25	PB+RA and PB regulated	5
C7orf61	PB+RA and PB regulated	5
C8orf44	PB+RA and PB regulated	5
C8orf49	PB+RA and PB regulated	5
C9orf129	PB+RA and PB regulated	5
C9orf16	PB+RA and PB regulated	5
C9orf43	PB+RA and PB regulated	5
CA11	PB+RA and PB regulated	5
CA15P1	PB+RA and PB regulated	5
CABIN1	PB+RA and PB regulated	5
CACNA1B	PB+RA and PB regulated	5
CACNA1H	PB+RA and PB regulated	5
CACNA2D3	PB+RA and PB regulated	5
CACNB1	PB+RA and PB regulated	5
CACNG4	PB+RA and PB regulated	5
CADPS	PB+RA and PB regulated	5
CALCOCO1	PB+RA and PB regulated	5
CALML6	PB+RA and PB regulated	5
CALY	PB+RA and PB regulated	5
CAMK1D	PB+RA and PB regulated	5
CAMK2B	PB+RA and PB regulated	5
CAMKK2	PB+RA and PB regulated	5
CAMKV	PB+RA and PB regulated	5
CAMLG	PB+RA and PB regulated	5
CAPN11	PB+RA and PB regulated	5
CAPN12	PB+RA and PB regulated	5
CAPN13	PB+RA and PB regulated	5
CAPN5	PB+RA and PB regulated	5
CAPNS2	PB+RA and PB regulated	5
CARMIL3	PB+RA and PB regulated	5
CASKIN1	PB+RA and PB regulated	5
CASZ1	PB+RA and PB regulated	5
CATSPERE	PB+RA and PB regulated	5
CBARP	PB+RA and PB regulated	5
CBFA2T2	PB+RA and PB regulated	5
CBX4	PB+RA and PB regulated	5
CBX7	PB+RA and PB regulated	5
CBY1	PB+RA and PB regulated	5
CC2D2B	PB+RA and PB regulated	5
CCDC102B	PB+RA and PB regulated	5
CCDC113	PB+RA and PB regulated	5
CCDC122	PB+RA and PB regulated	5
CCDC149	PB+RA and PB regulated	5
CCDC154	PB+RA and PB regulated	5
CCDC159	PB+RA and PB regulated	5
CCDC163	PB+RA and PB regulated	5
CCDC187	PB+RA and PB regulated	5
CCDC188	PB+RA and PB regulated	5
CCDC18-AS1	PB+RA and PB regulated	5
CCDC28A-AS1	PB+RA and PB regulated	5
CCDC30	PB+RA and PB regulated	5
CCDC32	PB+RA and PB regulated	5
CCDC40	PB+RA and PB regulated	5
CCDC69	PB+RA and PB regulated	5
CCDC78	PB+RA and PB regulated	5
CCDC85C	PB+RA and PB regulated	5
CCDC92B	PB+RA and PB regulated	5
CCDC96	PB+RA and PB regulated	5
CCM2L	PB+RA and PB regulated	5
CCN3	PB+RA and PB regulated	5
CCND1	PB+RA and PB regulated	5
CCNG2	PB+RA and PB regulated	5
CCNL2	PB+RA and PB regulated	5
CD163L1	PB+RA and PB regulated	5
CD226	PB+RA and PB regulated	5
CD27-AS1	PB+RA and PB regulated	5
CD44	PB+RA and PB regulated	5
CD47	PB+RA and PB regulated	5
CD8A	PB+RA and PB regulated	5
CDC37L1	PB+RA and PB regulated	5
CDC37L1-DT	PB+RA and PB regulated	5
CDH3	PB+RA and PB regulated	5
CDHR2	PB+RA and PB regulated	5
CDIPT	PB+RA and PB regulated	5
CDK10	PB+RA and PB regulated	5
CDK15	PB+RA and PB regulated	5
CDK18	PB+RA and PB regulated	5
CDK20	PB+RA and PB regulated	5
CDK5R1	PB+RA and PB regulated	5
CDK5R2	PB+RA and PB regulated	5
CDKL2	PB+RA and PB regulated	5
CDNF	PB+RA and PB regulated	5
CDS2	PB+RA and PB regulated	5
CEBPB-AS1	PB+RA and PB regulated	5
CELF3	PB+RA and PB regulated	5
CELF4	PB+RA and PB regulated	5
CENPT	PB+RA and PB regulated	5
CEP68	PB+RA and PB regulated	5
CERK	PB+RA and PB regulated	5
CERS1	PB+RA and PB regulated	5
CES2	PB+RA and PB regulated	5
CFAP206	PB+RA and PB regulated	5
CFAP251	PB+RA and PB regulated	5
CFAP300	PB+RA and PB regulated	5
CFAP47	PB+RA and PB regulated	5
CFAP61	PB+RA and PB regulated	5
CFAP65	PB+RA and PB regulated	5
CFAP70	PB+RA and PB regulated	5
CGREF1	PB+RA and PB regulated	5
CHGA	PB+RA and PB regulated	5
CHGB	PB+RA and PB regulated	5
CHIC1	PB+RA and PB regulated	5
CHMP1B	PB+RA and PB regulated	5
CHP1P2	PB+RA and PB regulated	5
CHPF	PB+RA and PB regulated	5
CHPF2	PB+RA and PB regulated	5
CHRM1	PB+RA and PB regulated	5
CHRM5	PB+RA and PB regulated	5
CHRNA6	PB+RA and PB regulated	5
CHRNB2	PB+RA and PB regulated	5
CHROMR	PB+RA and PB regulated	5
CHST8	PB+RA and PB regulated	5
CHURC1	PB+RA and PB regulated	5
CIBAR2	PB+RA and PB regulated	5
CIR1	PB+RA and PB regulated	5
CKLF	PB+RA and PB regulated	5
CKMT1A	PB+RA and PB regulated	5
CKMT1B	PB+RA and PB regulated	5
CKS1BP1	PB+RA and PB regulated	5
CLASP2	PB+RA and PB regulated	5
CLBA1	PB+RA and PB regulated	5
CLCN7	PB+RA and PB regulated	5
CLDN15	PB+RA and PB regulated	5
CLEC11A	PB+RA and PB regulated	5
CLEC3B	PB+RA and PB regulated	5
CLIC2	PB+RA and PB regulated	5
CLIP4	PB+RA and PB regulated	5
CLMN	PB+RA and PB regulated	5
CLN8	PB+RA and PB regulated	5
CLSTN2	PB+RA and PB regulated	5
CLTRN	PB+RA and PB regulated	5
CLVS1	PB+RA and PB regulated	5
CLYBL	PB+RA and PB regulated	5
CMIP	PB+RA and PB regulated	5
CMTM8	PB+RA and PB regulated	5
CNGB1	PB+RA and PB regulated	5
CNIH2	PB+RA and PB regulated	5
CNN2P9	PB+RA and PB regulated	5
CNNM2	PB+RA and PB regulated	5
CNTFR	PB+RA and PB regulated	5
COG1	PB+RA and PB regulated	5
COG6	PB+RA and PB regulated	5
COL16A1	PB+RA and PB regulated	5
COL20A1	PB+RA and PB regulated	5
COL23A1	PB+RA and PB regulated	5
COL27A1	PB+RA and PB regulated	5
COL2A1	PB+RA and PB regulated	5
COL5A2	PB+RA and PB regulated	5
COL6A1	PB+RA and PB regulated	5
COL6A5	PB+RA and PB regulated	5
COL9A2	PB+RA and PB regulated	5
COLEC11	PB+RA and PB regulated	5
COMMD6	PB+RA and PB regulated	5
COPA	PB+RA and PB regulated	5
COPS7A	PB+RA and PB regulated	5
COQ10B	PB+RA and PB regulated	5
COQ6	PB+RA and PB regulated	5
COQ8A	PB+RA and PB regulated	5
COX7A2L	PB+RA and PB regulated	5
CPA4	PB+RA and PB regulated	5
CPB2-AS1	PB+RA and PB regulated	5
CPEB1	PB+RA and PB regulated	5
CPEB1-AS1	PB+RA and PB regulated	5
CPEB3	PB+RA and PB regulated	5
CPEB4	PB+RA and PB regulated	5
CPLANE1	PB+RA and PB regulated	5
CPLX1	PB+RA and PB regulated	5
CPLX3	PB+RA and PB regulated	5
CPNE3	PB+RA and PB regulated	5
CPNE4	PB+RA and PB regulated	5
CPNE9	PB+RA and PB regulated	5
CPXM2	PB+RA and PB regulated	5
CPZ	PB+RA and PB regulated	5
CRBN	PB+RA and PB regulated	5
CRELD1	PB+RA and PB regulated	5
CRHR2	PB+RA and PB regulated	5
CRMP1	PB+RA and PB regulated	5
CROCC2	PB+RA and PB regulated	5
CROT	PB+RA and PB regulated	5
CRTC1	PB+RA and PB regulated	5
CRYAB	PB+RA and PB regulated	5
CRYGS	PB+RA and PB regulated	5
CSAD	PB+RA and PB regulated	5
CSE1L-AS1	PB+RA and PB regulated	5
CSGALNACT1	PB+RA and PB regulated	5
CSNK1D	PB+RA and PB regulated	5
CSPG5	PB+RA and PB regulated	5
CSRNP1	PB+RA and PB regulated	5
CSRNP3	PB+RA and PB regulated	5
CST3	PB+RA and PB regulated	5
CTC1	PB+RA and PB regulated	5
CTC-338M12.4	PB+RA and PB regulated	5
CTIF	PB+RA and PB regulated	5
CTSA	PB+RA and PB regulated	5
CTSF	PB+RA and PB regulated	5
CTSV	PB+RA and PB regulated	5
CUL9	PB+RA and PB regulated	5
CXXC5	PB+RA and PB regulated	5
CYB5D2	PB+RA and PB regulated	5
CYBA	PB+RA and PB regulated	5
CYCSP34	PB+RA and PB regulated	5
CYFIP1	PB+RA and PB regulated	5
CYP17A1	PB+RA and PB regulated	5
CYP2D7	PB+RA and PB regulated	5
CYP2S1	PB+RA and PB regulated	5
CYP2U1	PB+RA and PB regulated	5
CYP4F12	PB+RA and PB regulated	5
CYP7B1	PB+RA and PB regulated	5
CYTH1	PB+RA and PB regulated	5
DAAM1	PB+RA and PB regulated	5
DAB2	PB+RA and PB regulated	5
DACT3	PB+RA and PB regulated	5
DACT3-AS1	PB+RA and PB regulated	5
DAGLA	PB+RA and PB regulated	5
DAGLB	PB+RA and PB regulated	5
DAPK1	PB+RA and PB regulated	5
DBH	PB+RA and PB regulated	5
DBH-AS1	PB+RA and PB regulated	5
DBT	PB+RA and PB regulated	5
DCAF8	PB+RA and PB regulated	5
DCTN1	PB+RA and PB regulated	5
DDAH1	PB+RA and PB regulated	5
DDO	PB+RA and PB regulated	5
DEAF1	PB+RA and PB regulated	5
DENND3	PB+RA and PB regulated	5
DENND6B	PB+RA and PB regulated	5
DESI1	PB+RA and PB regulated	5
DFFA	PB+RA and PB regulated	5
DGAT1	PB+RA and PB regulated	5
DGKB	PB+RA and PB regulated	5
DGKD	PB+RA and PB regulated	5
DGKK	PB+RA and PB regulated	5
DGLUCY	PB+RA and PB regulated	5
DGUOK-AS1	PB+RA and PB regulated	5
DHDDS	PB+RA and PB regulated	5
DHRS1	PB+RA and PB regulated	5
DHX57	PB+RA and PB regulated	5
DIABLO	PB+RA and PB regulated	5
DISC1FP1	PB+RA and PB regulated	5
DISP2	PB+RA and PB regulated	5
DKFZP434H168	PB+RA and PB regulated	5
DKK3	PB+RA and PB regulated	5
DLEC1	PB+RA and PB regulated	5
DLG4	PB+RA and PB regulated	5
DLX3	PB+RA and PB regulated	5
DLX6-AS1	PB+RA and PB regulated	5
DMAC1	PB+RA and PB regulated	5
DMPK	PB+RA and PB regulated	5
DMXL2	PB+RA and PB regulated	5
DNAAF1	PB+RA and PB regulated	5
DNAH2	PB+RA and PB regulated	5
DNAH5	PB+RA and PB regulated	5
DNAJB5	PB+RA and PB regulated	5
DNAJB9	PB+RA and PB regulated	5
DNAJC12	PB+RA and PB regulated	5
DNAJC16	PB+RA and PB regulated	5
DNAJC27-AS1	PB+RA and PB regulated	5
DNAJC28	PB+RA and PB regulated	5
DNAJC30	PB+RA and PB regulated	5
DNAJC3-DT	PB+RA and PB regulated	5
DNM1	PB+RA and PB regulated	5
DOC2B	PB+RA and PB regulated	5
DOC2GP	PB+RA and PB regulated	5
DOCK4	PB+RA and PB regulated	5
DOK5	PB+RA and PB regulated	5
DOP1A	PB+RA and PB regulated	5
DPF3	PB+RA and PB regulated	5
DPH1	PB+RA and PB regulated	5
DPH5	PB+RA and PB regulated	5
DPP7	PB+RA and PB regulated	5
DRD4	PB+RA and PB regulated	5
DST-AS1	PB+RA and PB regulated	5
DTX1	PB+RA and PB regulated	5
DUBR	PB+RA and PB regulated	5
DUOX1	PB+RA and PB regulated	5
DUSP3	PB+RA and PB regulated	5
DUSP4	PB+RA and PB regulated	5
DUSP8	PB+RA and PB regulated	5
DUSP8P5	PB+RA and PB regulated	5
DUXAP8	PB+RA and PB regulated	5
DUXAP9	PB+RA and PB regulated	5
DYNC1I1	PB+RA and PB regulated	5
DYRK1B	PB+RA and PB regulated	5
DYSF	PB+RA and PB regulated	5
EAF1	PB+RA and PB regulated	5
EBF1	PB+RA and PB regulated	5
EDRF1-DT	PB+RA and PB regulated	5
EEF1DP4	PB+RA and PB regulated	5
EFCAB7	PB+RA and PB regulated	5
EFNA1	PB+RA and PB regulated	5
EFNB1	PB+RA and PB regulated	5
EHD3	PB+RA and PB regulated	5
EID2B	PB+RA and PB regulated	5
EIF3EP1	PB+RA and PB regulated	5
EIF4A2	PB+RA and PB regulated	5
EIF4EBP2P2	PB+RA and PB regulated	5
EIF4G3	PB+RA and PB regulated	5
ELF3	PB+RA and PB regulated	5
ELOA-AS1	PB+RA and PB regulated	5
ELOVL4	PB+RA and PB regulated	5
ELP2	PB+RA and PB regulated	5
EMC10	PB+RA and PB regulated	5
EME2	PB+RA and PB regulated	5
EMILIN3	PB+RA and PB regulated	5
EML2	PB+RA and PB regulated	5
ENOX1	PB+RA and PB regulated	5
EPAS1	PB+RA and PB regulated	5
EPB41L1	PB+RA and PB regulated	5
EPB41L4A-AS1	PB+RA and PB regulated	5
EPCAM	PB+RA and PB regulated	5
EPCAM-DT	PB+RA and PB regulated	5
EPG5	PB+RA and PB regulated	5
EPHA10	PB+RA and PB regulated	5
EPHA8	PB+RA and PB regulated	5
EPHX2	PB+RA and PB regulated	5
EPS8L2	PB+RA and PB regulated	5
ERCC6	PB+RA and PB regulated	5
ERI3-IT1	PB+RA and PB regulated	5
ERVK13-1	PB+RA and PB regulated	5
ERVV-2	PB+RA and PB regulated	5
ESM1	PB+RA and PB regulated	5
ESYT3	PB+RA and PB regulated	5
ETFBKMT	PB+RA and PB regulated	5
ETFRF1	PB+RA and PB regulated	5
EVI5L	PB+RA and PB regulated	5
EXOC1	PB+RA and PB regulated	5
EXOC3-AS1	PB+RA and PB regulated	5
EXOC4	PB+RA and PB regulated	5
EXTL1	PB+RA and PB regulated	5
EXTL3-AS1	PB+RA and PB regulated	5
FABP3	PB+RA and PB regulated	5
FABP6	PB+RA and PB regulated	5
FAM110B	PB+RA and PB regulated	5
FAM120B	PB+RA and PB regulated	5
FAM135B	PB+RA and PB regulated	5
FAM13A	PB+RA and PB regulated	5
FAM13B	PB+RA and PB regulated	5
FAM13C	PB+RA and PB regulated	5
FAM155A	PB+RA and PB regulated	5
FAM157A	PB+RA and PB regulated	5
FAM160B1	PB+RA and PB regulated	5
FAM163B	PB+RA and PB regulated	5
FAM171A2	PB+RA and PB regulated	5
FAM171B	PB+RA and PB regulated	5
FAM172A	PB+RA and PB regulated	5
FAM174A	PB+RA and PB regulated	5
FAM174B	PB+RA and PB regulated	5
FAM185BP	PB+RA and PB regulated	5
FAM200B	PB+RA and PB regulated	5
FAM214A	PB+RA and PB regulated	5
FAM214B	PB+RA and PB regulated	5
FAM218A	PB+RA and PB regulated	5
FAM219B	PB+RA and PB regulated	5
FAM222B	PB+RA and PB regulated	5
FAM227A	PB+RA and PB regulated	5
FAM228B	PB+RA and PB regulated	5
FAM229A	PB+RA and PB regulated	5
FAM229B	PB+RA and PB regulated	5
FAM238C	PB+RA and PB regulated	5
FAM47E	PB+RA and PB regulated	5
FAM66A	PB+RA and PB regulated	5
FAM71F2	PB+RA and PB regulated	5
FAM78A	PB+RA and PB regulated	5
FAM78B	PB+RA and PB regulated	5
FAM86B1	PB+RA and PB regulated	5
FAM86B2	PB+RA and PB regulated	5
FAM86B3P	PB+RA and PB regulated	5
FAM86HP	PB+RA and PB regulated	5
FAM87A	PB+RA and PB regulated	5
FAXDC2	PB+RA and PB regulated	5
FBLL1	PB+RA and PB regulated	5
FBN1	PB+RA and PB regulated	5
FBXL16	PB+RA and PB regulated	5
FBXL19-AS1	PB+RA and PB regulated	5
FBXL2	PB+RA and PB regulated	5
FBXL20	PB+RA and PB regulated	5
FBXL22	PB+RA and PB regulated	5
FBXO10	PB+RA and PB regulated	5
FBXO16	PB+RA and PB regulated	5
FBXO25	PB+RA and PB regulated	5
FBXO32	PB+RA and PB regulated	5
FBXO41	PB+RA and PB regulated	5
FBXW11P1	PB+RA and PB regulated	5
FBXW7	PB+RA and PB regulated	5
FCHO1	PB+RA and PB regulated	5
FCRLB	PB+RA and PB regulated	5
FER1L6	PB+RA and PB regulated	5
FETUB	PB+RA and PB regulated	5
FGD4	PB+RA and PB regulated	5
FGF1	PB+RA and PB regulated	5
FGF14	PB+RA and PB regulated	5
FGF7P3	PB+RA and PB regulated	5
FHIT	PB+RA and PB regulated	5
FHOD3	PB+RA and PB regulated	5
FIBCD1	PB+RA and PB regulated	5
FIRRE	PB+RA and PB regulated	5
FITM2	PB+RA and PB regulated	5
FJX1	PB+RA and PB regulated	5
FKBP10	PB+RA and PB regulated	5
FKBP11	PB+RA and PB regulated	5
FKBP1A	PB+RA and PB regulated	5
FKBP1C	PB+RA and PB regulated	5
FLCN	PB+RA and PB regulated	5
FLJ20021	PB+RA and PB regulated	5
FLJ30679	PB+RA and PB regulated	5
FLJ37201	PB+RA and PB regulated	5
FLJ42351	PB+RA and PB regulated	5
FLNC	PB+RA and PB regulated	5
FLYWCH1	PB+RA and PB regulated	5
FMNL1	PB+RA and PB regulated	5
FMNL1-DT	PB+RA and PB regulated	5
FN3K	PB+RA and PB regulated	5
FNIP1	PB+RA and PB regulated	5
FOXD4	PB+RA and PB regulated	5
FOXD4L1	PB+RA and PB regulated	5
FOXN3-AS1	PB+RA and PB regulated	5
FRG1BP	PB+RA and PB regulated	5
FRG1HP	PB+RA and PB regulated	5
FRMD6-AS1	PB+RA and PB regulated	5
FRS3	PB+RA and PB regulated	5
FRZB	PB+RA and PB regulated	5
FSHR	PB+RA and PB regulated	5
FSTL4	PB+RA and PB regulated	5
FTCD	PB+RA and PB regulated	5
FTL	PB+RA and PB regulated	5
FZD4	PB+RA and PB regulated	5
FZD7	PB+RA and PB regulated	5
G0S2	PB+RA and PB regulated	5
GAA	PB+RA and PB regulated	5
GABARAPL2	PB+RA and PB regulated	5
GABBR1	PB+RA and PB regulated	5
GACAT2	PB+RA and PB regulated	5
GACAT3	PB+RA and PB regulated	5
GADD45G	PB+RA and PB regulated	5
GAL3ST1	PB+RA and PB regulated	5
GALNT15	PB+RA and PB regulated	5
GALNTL6	PB+RA and PB regulated	5
GALT	PB+RA and PB regulated	5
GAP43	PB+RA and PB regulated	5
GAREM2	PB+RA and PB regulated	5
GARNL3	PB+RA and PB regulated	5
GARS1-DT	PB+RA and PB regulated	5
GAS2L2	PB+RA and PB regulated	5
GAS5	PB+RA and PB regulated	5
GAS6-DT	PB+RA and PB regulated	5
